id,name,image,subtitle,url,created_at
79,Boulevard of Broken Dreams,https://c.saavncdn.com/163/Greatest-Hits-God-s-Favorite-Band-English-2017-20190604180355-150x150.jpg,Green Day - Greatest Hits: God's Favorite Band,https://aac.saavncdn.com/163/c85c6ed1bd038200ecfddcc7925ad4c3_160.mp4,2024-01-15 19:14:31.032441+00
86,God's Plan,https://c.saavncdn.com/555/Today-s-Hip-Hop-Radio-Hits-English-2018-20180330150336-150x150.jpg,Rap Game - Today's Hip-Hop Radio Hits,https://aac.saavncdn.com/555/f3014774d8626707cc3230ad85aa32d5_160.mp4,2024-01-15 19:14:42.243766+00
92,God's Plan,https://c.saavncdn.com/036/God-s-Plan-English-2018-20180312165624-150x150.jpg,Cimorelli - God's Plan,https://aac.saavncdn.com/036/645ab0b513e094c6b980f53cbaa76f57_160.mp4,2024-01-15 19:14:42.264483+00
100,God's Plan,https://c.saavncdn.com/946/God-s-Plan-English-2018-20180216092521-150x150.jpg,"We Rabbitz ft. Cam Fattore, Kid Travis - God's Plan",https://aac.saavncdn.com/946/0988c5e161f7051aa22aeb013e972e9b_160.mp4,2024-01-15 19:14:42.292902+00
1224,Bloody Sweet,https://c.saavncdn.com/415/Leo-Original-Motion-Picture-Soundtrack-English-2023-20231019170311-150x150.jpg,"Anirudh Ravichander, Siddharth Basrur - Leo (Original Motion Picture Soundtrack)",https://aac.saavncdn.com/415/2f06adbb45aad37a49ccbdbbf0cb7b85_160.mp4,2024-02-03 15:28:53.211627+00
1228,Chaahat,https://c.saavncdn.com/886/Blood-Money-Hindi-2012-20230306184731-150x150.jpg,"Jeet Gannguli, Rahat Fateh Ali Khan - Blood Money",https://aac.saavncdn.com/886/33ae40a184a2912ab676659822b298d7_160.mp4,2024-02-03 15:28:53.309789+00
1232,Bloodlust (feat. Capone),https://c.saavncdn.com/448/No-Name-Punjabi-2022-20220425032043-150x150.jpg,Sidhu Moose Wala ft. Capone - No Name,https://aac.saavncdn.com/448/8da5f219c34bc7930f5266675fe7c896_160.mp4,2024-02-03 15:28:53.335461+00
74,God's (Plan The Baddest),https://c.saavncdn.com/725/God-s-Plan-The-Baddest--Unknown-2020-20201008094102-150x150.jpg,D-Nani - God's (Plan The Baddest),https://aac.saavncdn.com/725/54a52fbccb9de68109c4a2e23284e0e3_160.mp4,2024-01-15 19:14:31.00691+00
78,God's Whisper,https://c.saavncdn.com/928/God-s-Whisper-English-2014-150x150.jpg,Raury - God's Whisper,https://aac.saavncdn.com/928/5b74637a050ab6422ce67b50b103a9b9_160.mp4,2024-01-15 19:14:31.03319+00
93,God's Plan,https://c.saavncdn.com/698/Love-Is-Dead-English-2018-20190131163301-150x150.jpg,CHVRCHES - Love Is Dead,https://aac.saavncdn.com/698/1217b6325a9890deb63e6f429fa9ccba_160.mp4,2024-01-15 19:14:42.263388+00
102,God's Plan,https://c.saavncdn.com/450/Jesus-Christ-English-2010-150x150.jpg,Jesus Christ - Jesus Christ,https://aac.saavncdn.com/450/6e17e40a0536c4d30f1b5b54822599e7_160.mp4,2024-01-15 19:14:42.294269+00
